logN,t
19,1.75438
18,1.15843
17,1.2611
16,1.08044
15,0.888733
14,0.547852
13,0.355835
12,0.486816
11,0.567383
19,1.42342
18,1.17375
17,1.12366
16,1.09518
15,1.52182
14,0.622375
13,0.814087
12,0.730469
11,0.50293
19,1.45632
18,1.19781
17,1.41028
16,1.13403
15,1.17285
14,0.487305
13,0.608643
12,0.531494
11,0.486816
19,1.29506
18,1.28194
17,1.09008
16,1.0486
15,0.88385
14,0.309143
13,0.260742
12,0.486816
11,0.486816
19,1.20473
18,1.67621
17,1.11604
16,0.958755
15,0.791382
14,0.487793
13,1.09558
12,0.730469
11,0.973633
19,1.64506
18,1.19506
17,1.05624
16,1.0246
15,0.871857
14,0.345703
13,0.328125
12,0.243164
11,0.203613
19,1.17138
18,1.1152
17,1.20615
16,1.12469
15,0.88266
14,0.300781
13,0.346069
12,0.506104
11,0
19,1.0134
18,1.10483
17,1.02166
16,0.952271
15,0.856781
14,0.309326
13,0.487305
12,0.486816
11,0.487305
19,1.066
18,1.10653
17,1.08858
16,1.00436
15,0.88266
14,0.365234
13,0.365112
12,0.243652
11,0
19,1.12843
18,1.1527
17,1.08529
16,1.11142
15,0.858246
14,0.302124
13,0.257812
12,0.234863
11,0
19,1.1052
18,1.24285
17,1.06422
16,1.05801
15,0.913727
14,0.365173
13,0.487061
12,0.243408
11,0.486816
19,1.06631
18,1.15817
17,1.09647
16,1.01314
15,0.853363
14,0.304321
13,0.360352
12,0.477051
11,0.383301
19,1.18266
18,1.15157
17,1.13011
16,0.997681
15,1.00443
14,0.377136
13,0.243164
12,0.243408
11,0.487305
19,1.07909
18,1.12331
17,1.15393
16,1.05005
15,0.821808
14,0.297668
13,0.243408
12,0.502686
11,0.486816
19,1.11084
18,1.15277
17,1.16418
16,1.05165
15,0.945618
14,0.304382
13,0.487061
12,0.486816
11,0.486816
19,1.0961
18,1.16015
17,1.11884
16,1.07655
15,0.882721
14,0.304382
13,0.365356
12,0.243408
11,0.486816
19,0.996346
18,1.02993
17,1.09985
16,0.973938
15,0.822845
14,0.30188
13,0.486694
12,0.243408
11,0
19,0.997866
18,1.00577
17,1.02057
16,1.01962
15,0.791321
14,0.304016
13,0.243164
12,0.227783
11,0
19,1.04134
18,1.18306
17,1.09634
16,1.11131
15,0.943512
14,0.365356
13,0.365479
12,0.299805
11,0
19,1.07055
18,1.14736
17,1.18402
16,1.09798
15,0.929779
14,0.365295
13,0.365234
12,0.449951
11,0
19,1.14372
18,1.13606
17,1.23721
16,1.09567
15,0.98053
14,0.426147
13,0.37439
12,0.244385
11,0
19,1.15219
18,1.23028
17,1.14333
16,1.0537
15,1.3186
14,0.297913
13,0.380371
12,0.487061
11,0.393066
19,1.2524
18,1.86583
17,1.49786
16,1.70929
15,1.27713
14,0.489136
13,0.487061
12,0.529785
11,0.487305
19,1.2384
18,1.26482
17,1.34457
16,1.2327
15,0.959473
14,0.426086
13,0.24353
12,0.206543
11,0.569824
19,1.23566
18,1.20275
17,1.19108
16,1.08006
15,1.03479
14,0.314575
13,0.365356
12,0.486816
11,0.476562
19,1.1639
18,1.27328
17,1.26743
16,0.981506
15,0.973969
14,0.426086
13,0.24353
12,0.220459
11,0
19,1.15549
18,1.18235
17,1.1358
16,1.12543
15,0.913849
14,0.500793
13,0.361572
12,0.486816
11,0.524902
19,1.19351
18,1.18215
17,1.22037
16,1.56926
15,7.5007
14,0.51416
13,0.487061
12,0.371094
11,0.486816
19,1.46824
18,1.38548
17,1.32489
16,1.06572
15,0.915741
14,0.486938
13,0.486938
12,0.730469
11,0.487793
19,1.41645
18,1.74025
17,1.59843
16,1.49997
15,0.943329
14,0.371399
13,0.574097
12,0.275879
11,0.67627
19,1.61231
18,1.49897
17,1.47815
16,1.22964
15,1.31195
14,0.488586
13,0.479126
12,0.486328
11,0.487793
19,1.49293
18,1.53335
17,1.29669
16,1.49203
15,1.27942
14,0.60675
13,0.509766
12,0.501221
11,0.486816
19,1.47703
18,1.7166
17,1.1946
16,1.01917
15,0.851349
14,0.303406
13,0.243408
12,0.487549
11,0.486816
19,1.64651
18,1.60931
17,1.5835
16,1.19814
15,1.23581
14,0.304688
13,0.365234
12,0.224609
11,0
19,1.55996
18,1.2477
17,1.11165
16,1.53699
15,1.34137
14,0.495667
13,0.486694
12,0.478027
11,0.487305
19,1.61255
18,1.61846
17,1.11703
16,1.53752
15,1.27844
14,0.66748
13,0.486572
12,0.486084
11,0.486328
19,1.47574
18,1.57987
17,1.62836
16,1.5005
15,1.31094
14,0.484558
13,0.486938
12,0.487305
11,0.487305
19,1.5645
18,1.2869
17,1.63592
16,1.30193
15,0.973969
14,0.484863
13,0.482422
12,0.672607
