logN,t
16,1.9794
17,1.9182
18,1.83901
10,3.31055
11,2.12988
12,2.91626
13,2.55664
14,2.43469
15,2.53204
16,2.3752
17,2.02016
18,1.88789
10,1.94727
11,1.47461
12,1.45435
13,1.53223
14,1.64856
15,1.73239
16,2.05508
17,1.64356
18,1.7971
10,2.12891
11,1.85645
12,2.43506
13,2.82104
14,2.31329
15,2.40448
16,2.31622
17,2.51379
18,2.23521
10,2.9209
11,1.94727
12,1.95728
13,2.43042
14,2.25226
15,2.00885
16,1.68233
17,1.98607
18,2.30967
10,1.95117
11,1.97754
12,1.71973
13,1.6897
14,1.64337
15,1.76645
16,1.61443
17,1.68369
18,2.17431
10,8.01465
11,6.21924
12,4.13892
13,3.60046
14,1.76532
15,1.49136
16,1.69412
17,1.85819
18,1.82332
10,2.08203
11,1.4502
12,1.43311
13,1.6261
14,1.44879
15,1.43198
16,1.47943
17,2.20695
18,2.73478
10,1.375
11,1.45508
12,1.76489
13,1.44543
14,1.27094
15,1.25562
16,1.35707
17,1.36838
18,1.43266
10,0.974609
11,1.51611
12,1.47803
13,1.31653
14,1.22919
15,1.24481
16,1.30794
17,1.40739
18,1.49039
10,1.94824
11,2.03369
12,1.69287
13,1.3623
14,1.57111
15,1.40155
16,1.48288
17,1.46925
18,1.59805
10,1.91113
11,1.46094
12,1.47046
13,1.69983
14,1.58484
15,1.3696
16,1.55353
17,1.63029
18,1.5588
10,0.974609
11,1.5625
12,1.41016
13,1.47522
14,1.21033
15,1.43051
16,1.45364
17,1.55781
18,1.55285
10,1.19336
11,1.35107
12,1.70435
13,1.58301
14,1.37292
15,1.39951
16,1.49405
17,1.75434
18,1.70876
10,1.94824
11,1.07031
12,1.65625
13,1.70435
14,1.52191
15,1.46097
16,1.43071
17,1.6099
18,1.65526
10,1.94727
11,1.94775
12,1.70459
13,1.4613
14,1.3999
15,1.52182
16,1.57085
17,1.59798
18,1.66239
10,1.94824
11,0.973633
12,1.46118
13,1.46106
14,1.46313
15,1.58646
16,1.52063
17,1.52964
18,1.62554
10,0.852539
11,1.46045
12,1.7041
13,1.83032
14,1.51996
15,1.36954
16,1.58269
17,1.58205
18,1.49943
10,1.23438
11,1.33057
12,1.46851
13,1.58203
14,1.27679
